LSOA code,LSOA name,Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile,Income Rank,Income Decile,Employment Rank,Employment Decile,"Education, Skills and Training Rank","Education, Skills and Training Decile",Health Deprivation and Disability Rank,Health Deprivation and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile
E01000041,Barking and Dagenham 017A,6601,3,8647,3,11669,4,7142,3,10992,4,10010,4,501,1,7142,3
E01000042,Barking and Dagenham 017B,3842,2,3492,2,5445,2,8009,3,8795,3,12499,4,32,1,11945,4
E01000043,Barking and Dagenham 019B,8992,3,10803,4,15314,5,8996,3,15334,5,8080,3,1445,1,6764,3
E01000044,Barking and Dagenham 016D,8825,3,12202,4,16632,6,12369,4,22250,7,2950,1,1507,1,3119,1
E01000045,Barking and Dagenham 017C,5639,2,7494,3,9056,3,11338,4,11924,4,2160,1,1145,1,6123,2
E01000046,Barking and Dagenham 017D,8138,3,8795,3,10956,4,9321,3,12756,4,17088,6,996,1,8655,3
E01000048,Barking and Dagenham 021B,3117,1,1195,1,4191,2,10073,4,9163,3,12778,4,449,1,14836,5
E01000049,Barking and Dagenham 021C,3928,2,2525,1,7156,3,9454,3,10214,4,10784,4,58,1,10818,4
E01000050,Barking and Dagenham 019C,5994,2,8360,3,10452,4,12144,4,7817,3,6059,2,567,1,5545,2
E01000051,Barking and Dagenham 021D,5228,2,4785,2,8540,3,9315,3,10460,4,4814,2,892,1,10252,4
E01000052,Barking and Dagenham 019D,6549,2,7440,3,10931,4,9645,3,18434,6,11417,4,163,1,4788,2
E01000053,Barking and Dagenham 020A,4249,2,5037,2,8972,3,9519,3,6865,3,2144,1,395,1,10870,4
E01000054,Barking and Dagenham 018A,8124,3,8012,3,13318,5,9978,4,13087,4,8887,3,1537,1,8004,3
E01000055,Barking and Dagenham 018B,7604,3,6032,2,10475,4,9752,3,14090,5,15940,5,1392,1,9167,3
E01000056,Barking and Dagenham 018C,5571,2,6839,3,7099,3,10670,4,9652,3,9269,3,165,1,12777,4
E01000057,Barking and Dagenham 012A,6712,3,6909,3,9877,4,8006,3,14559,5,7156,3,1279,1,8781,3
E01000058,Barking and Dagenham 018D,7176,3,6736,3,10069,4,10397,4,13772,5,11053,4,848,1,10066,4
E01000059,Barking and Dagenham 013C,6950,3,8297,3,8597,3,9341,3,13932,5,10248,4,1021,1,7356,3
E01000060,Barking and Dagenham 006B,5475,2,6512,2,8627,3,10548,4,11879,4,2737,1,509,1,11955,4
E01000061,Barking and Dagenham 006C,2802,1,2125,1,3923,2,5414,2,4136,2,14393,5,375,1,18454,6
E01000062,Barking and Dagenham 006D,9781,3,11124,4,14664,5,8286,3,18285,6,8288,3,1042,1,15164,5
E01000063,Barking and Dagenham 004A,6520,2,7943,3,9225,3,6017,2,11816,4,11295,4,1689,1,6036,2
E01000064,Barking and Dagenham 006E,5791,2,6220,2,8440,3,11115,4,10490,4,13303,5,310,1,6602,3
E01000065,Barking and Dagenham 007A,4296,2,5065,2,4770,2,10220,4,5745,2,11574,4,634,1,9210,3
E01000066,Barking and Dagenham 011A,10329,4,10725,4,13108,4,14926,5,15169,5,20658,7,249,1,16885,6
E01000067,Barking and Dagenham 011B,13573,5,12329,4,19905,7,16594,6,21963,7,10735,4,1551,1,14035,5
E01000068,Barking and Dagenham 016E,10421,4,13349,5,17599,6,16416,5,13509,5,3970,2,1777,1,8062,3
E01000069,Barking and Dagenham 011C,17580,6,18292,6,18888,6,16211,5,25051,8,16201,5,5792,2,9748,3
E01000070,Barking and Dagenham 011D,13531,5,14981,5,17070,6,17805,6,22662,7,5018,2,3806,2,10170,4
E01000071,Barking and Dagenham 011E,15370,5,12518,4,22157,7,18062,6,20051,7,18962,6,1935,1,13807,5
E01000072,Barking and Dagenham 017E,3974,2,4451,2,7689,3,7028,3,9357,3,2249,1,722,1,8754,3
E01000073,Barking and Dagenham 012B,4645,2,6133,2,7982,3,6712,3,8284,3,1554,1,1340,1,12681,4
E01000074,Barking and Dagenham 012C,5870,2,4794,2,8763,3,7662,3,9581,3,16602,6,641,1,13256,5
E01000075,Barking and Dagenham 012D,5215,2,6873,3,9943,4,6343,2,13939,5,3101,1,1086,1,4325,2
E01000076,Barking and Dagenham 012E,5451,2,6177,2,6722,3,6380,2,14560,5,12141,4,338,1,10531,4
E01000077,Barking and Dagenham 008F,3967,2,3973,2,5768,2,7276,3,6631,3,9244,3,1218,1,6233,2
E01000078,Barking and Dagenham 007B,5874,2,5086,2,8778,3,7216,3,15460,5,9512,3,1183,1,7156,3
E01000079,Barking and Dagenham 009E,6057,2,5141,2,7379,3,11072,4,15314,5,12695,4,566,1,9200,3
E01000080,Barking and Dagenham 007C,6596,3,7274,3,6934,3,10114,4,9777,3,14386,5,989,1,12095,4
E01000081,Barking and Dagenham 007D,7738,3,9449,3,10130,4,8201,3,12703,4,13643,5,1281,1,7318,3
E01000082,Barking and Dagenham 007E,9100,3,9753,3,10671,4,8160,3,17747,6,19918,7,1396,1,8806,3
E01000083,Barking and Dagenham 007F,6111,2,6904,3,8025,3,9793,3,10842,4,9982,4,1199,1,6063,2
E01000084,Barking and Dagenham 013D,4315,2,5030,2,7393,3,6237,2,11120,4,1715,1,1344,1,9648,3
E01000085,Barking and Dagenham 013E,5838,2,7390,3,9203,3,6360,2,19518,6,3245,1,871,1,7484,3
E01000086,Barking and Dagenham 013F,4822,2,5632,2,7318,3,9185,3,5137,2,4717,2,1477,1,11002,4
E01000087,Barking and Dagenham 020B,6122,2,5212,2,8331,3,9744,3,15307,5,14563,5,506,1,8076,3
E01000088,Barking and Dagenham 020C,8574,3,10790,4,12495,4,13589,5,12126,4,8365,3,1238,1,6458,2
E01000089,Barking and Dagenham 020D,8508,3,9981,4,13980,5,10703,4,18445,6,13690,5,668,1,3962,2
E01000090,Barking and Dagenham 020E,8873,3,8855,3,14060,5,12523,4,18942,6,6503,2,973,1,9116,3
E01000091,Barking and Dagenham 022A,3669,2,3775,2,4635,2,7594,3,11282,4,3573,2,540,1,12738,4
E01000092,Barking and Dagenham 019E,6348,2,5804,2,11606,4,14566,5,16131,5,7000,3,11,1,8818,3
E01000093,Barking and Dagenham 022B,2669,1,3596,2,5065,2,9411,3,5519,2,2977,1,370,1,3282,1
E01000094,Barking and Dagenham 022C,8930,3,9003,3,13554,5,21017,7,16555,6,8737,3,4,1,14763,5
E01000095,Barking and Dagenham 018E,6984,3,6925,3,13425,5,12341,4,17759,6,3990,2,7,1,16305,5
E01000096,Barking and Dagenham 022D,3997,2,3651,2,7977,3,7010,3,15882,5,1816,1,534,1,8823,3
E01000097,Barking and Dagenham 023C,4866,2,5351,2,8344,3,7462,3,5831,2,9503,3,692,1,9628,3
E01000098,Barking and Dagenham 023D,4455,2,4575,2,5822,2,8040,3,9792,3,4288,2,1332,1,9574,3
E01000099,Barking and Dagenham 023E,8373,3,8476,3,11800,4,10808,4,12858,4,16553,6,688,1,10685,4
E01000100,Barking and Dagenham 004B,7152,3,9665,3,10100,4,8731,3,14418,5,7277,3,1444,1,4920,2
E01000101,Barking and Dagenham 004C,4126,2,3849,2,6223,2,8974,3,9545,3,5094,2,1362,1,5302,2
E01000102,Barking and Dagenham 007G,3557,2,3043,1,4646,2,11364,4,7036,3,5806,2,1167,1,6799,3
E01000103,Barking and Dagenham 014A,6708,3,8028,3,10618,4,10205,4,9979,4,7987,3,227,1,15230,5
E01000104,Barking and Dagenham 014B,6002,2,5419,2,8092,3,7929,3,11958,4,14637,5,304,1,16764,6
E01000105,Barking and Dagenham 014C,3229,1,4221,2,5349,2,6402,2,4774,2,3225,1,670,1,11416,4
E01000106,Barking and Dagenham 014D,3355,2,3032,1,5211,2,9725,3,7543,3,5569,2,180,1,11010,4
E01000107,Barking and Dagenham 010C,8865,3,10392,4,13329,5,8851,3,8175,3,17090,6,1156,1,13252,5
E01000108,Barking and Dagenham 010D,8940,3,8694,3,11946,4,13397,5,13637,5,13794,5,1914,1,6178,2
E01000109,Barking and Dagenham 004D,10373,4,13637,5,15539,5,12247,4,19119,6,4478,2,2272,1,6609,3
E01000110,Barking and Dagenham 002C,16365,5,14678,5,16725,6,19168,6,16046,5,21211,7,5156,2,14867,5
E01000111,Barking and Dagenham 002D,8544,3,8457,3,10920,4,13216,5,13246,5,11745,4,1179,1,10690,4
E01000112,Barking and Dagenham 002E,10925,4,12627,4,19995,7,14420,5,21026,7,7729,3,1404,1,4026,2
E01000113,Barking and Dagenham 002F,10601,4,10322,4,16043,5,15827,5,17933,6,6421,2,1615,1,10582,4
E01000114,Barking and Dagenham 004E,11855,4,13863,5,17792,6,14308,5,17851,6,10125,4,1978,1,6563,2
E01000115,Barnet 009A,29174,9,24852,8,26011,8,28835,9,31772,10,24388,8,20425,7,16164,5
E01000116,Barnet 009B,27318,9,20597,7,25160,8,28684,9,31379,10,22839,7,17651,6,16614,6
E01000117,Barnet 010A,24958,8,21222,7,21069,7,26087,8,29887,10,19170,6,14896,5,17080,6
E01000118,Barnet 010B,24743,8,20191,7,21699,7,23320,8,32170,10,19710,7,13923,5,18191,6
E01000119,Barnet 009C,22657,7,19862,7,23311,8,29365,9,32503,10,7366,3,12644,4,13884,5
E01000120,Barnet 009D,29572,10,23592,8,28933,9,27995,9,31931,10,24686,8,17894,6,19324,6
E01000121,Barnet 010C,5463,2,3532,2,3444,2,12192,4,12164,4,11408,4,3010,1,20733,7
E01000122,Barnet 009E,24308,8,21201,7,23116,8,30583,10,30581,10,25342,8,6494,2,13971,5
E01000123,Barnet 010D,23278,8,20571,7,24914,8,23385,8,29311,9,26038,8,4252,2,18691,6
E01000124,Barnet 010E,11634,4,9081,3,8789,3,17610,6,24615,8,9189,3,6538,2,14719,5
E01000125,Barnet 024A,9759,3,8105,3,14613,5,11445,4,24898,8,7913,3,904,1,14835,5
E01000126,Barnet 026A,6407,2,4366,2,6354,2,18871,6,17202,6,19092,6,201,1,12134,4
E01000127,Barnet 024B,9275,3,7125,3,8594,3,12944,4,23367,8,10103,4,2978,1,13192,5
E01000128,Barnet 024C,9555,3,8718,3,12046,4,12220,4,21389,7,3869,2,4215,2,10444,4
E01000129,Barnet 024D,7554,3,5873,2,11084,4,11367,4,18366,6,3487,2,2603,1,11448,4
E01000130,Barnet 021A,7621,3,7670,3,9925,4,14311,5,21139,7,5021,2,1334,1,6102,2
E01000131,Barnet 024E,13623,5,14225,5,19498,6,20987,7,27020,9,2608,1,2472,1,14578,5
E01000132,Barnet 021B,10459,4,7554,3,11581,4,12100,4,22939,7,11812,4,3895,2,11269,4
E01000133,Barnet 021C,7660,3,7489,3,5788,2,11075,4,16936,6,15664,5,2166,1,10732,4
E01000134,Barnet 024F,10969,4,7770,3,13810,5,13625,5,24429,8,19554,6,1626,1,10405,4
E01000135,Barnet 038A,21585,7,20336,7,25207,8,28090,9,29489,9,10680,4,10648,4,6935,3
E01000136,Barnet 038B,25840,8,29403,9,32200,10,32080,10,32547,10,13707,5,8749,3,5733,2
E01000137,Barnet 041A,8611,3,4769,2,7065,3,23802,8,14846,5,11200,4,4917,2,13240,5
E01000138,Barnet 040A,9114,3,8210,3,8832,3,23460,8,24007,8,3016,1,3762,2,7778,3
E01000139,Barnet 041B,21727,7,19148,6,27475,9,27939,9,30993,10,7591,3,10558,4,9230,3
E01000140,Barnet 041C,17164,6,13979,5,16748,6,22414,7,28092,9,17079,6,6833,3,8608,3
E01000141,Barnet 039A,8601,3,10621,4,15544,5,20639,7,26316,9,998,1,3781,2,1546,1
E01000142,Barnet 040B,17305,6,12982,4,17086,6,23016,8,25666,8,22062,7,6375,2,9571,3
E01000143,Barnet 041D,7380,3,4534,2,6262,2,16148,5,17289,6,5800,2,4795,2,15838,5
E01000144,Barnet 038C,15833,5,16060,5,15795,5,23604,8,28028,9,6317,2,6215,2,9289,3
E01000145,Barnet 037A,19310,6,18244,6,18151,6,27693,9,31703,10,13588,5,7564,3,7415,3
E01000146,Barnet 038D,15647,5,15846,5,14465,5,27554,9,31821,10,7217,3,4289,2,8905,3
E01000147,Barnet 030A,21282,7,19924,7,27874,9,21938,7,32596,10,11383,4,8877,3,6999,3
E01000148,Barnet 030B,9213,3,7576,3,10390,4,16751,6,16658,6,16537,6,1401,1,8909,3
E01000150,Barnet 036A,18371,6,15457,5,22713,7,22579,7,31284,10,17184,6,4710,2,6930,3
E01000151,Barnet 026B,4606,2,1383,1,3621,2,14541,5,19182,6,15355,5,1948,1,15489,5
E01000152,Barnet 026C,6908,3,3391,2,7125,3,10713,4,24090,8,15902,5,1193,1,18424,6
E01000153,Barnet 026D,3826,2,3020,1,4735,2,6415,2,16727,6,4658,2,407,1,16737,6
E01000154,Barnet 026E,6805,3,6589,3,7428,3,12409,4,15897,5,5150,2,1350,1,13307,5
E01000155,Barnet 030D,13700,5,12048,4,20992,7,19786,7,30874,10,18553,6,2470,1,2383,1
E01000156,Barnet 022A,26669,9,20480,7,27970,9,31256,10,28748,9,18997,6,14049,5,15291,5
E01000157,Barnet 022B,21431,7,18020,6,23337,8,21468,7,29471,9,20763,7,11191,4,7699,3
E01000158,Barnet 015A,14606,5,12554,4,14944,5,21097,7,24692,8,8251,3,8292,3,8183,3
E01000159,Barnet 015B,17696,6,14637,5,16967,6,27445,9,30795,10,8253,3,5117,2,17292,6
E01000160,Barnet 015C,22025,7,21491,7,25821,8,24450,8,29047,9,9589,3,9329,3,11117,4
E01000161,Barnet 015D,19434,6,15071,5,23203,8,28785,9,23738,8,7561,3,8832,3,15281,5
E01000162,Barnet 015E,15689,5,14118,5,12852,4,21882,7,23118,8,9327,3,11836,4,10428,4
E01000163,Barnet 022C,8744,3,6673,3,7026,3,18746,6,15455,5,12561,4,2815,1,13854,5
E01000164,Barnet 022D,10557,4,8617,3,11407,4,20020,7,25537,8,4999,2,3614,2,9562,3
E01000165,Barnet 022E,20782,7,16434,6,24651,8,27089,9,30809,10,13551,5,3791,2,18378,6
E01000166,Barnet 003A,19054,6,15602,5,15856,5,24869,8,28162,9,12305,4,7702,3,20472,7
E01000167,Barnet 002A,8854,3,6730,3,9073,3,12139,4,13541,5,8847,3,4625,2,16601,6
E01000168,Barnet 003B,28357,9,26071,8,29238,9,29243,9,31651,10,18057,6,14471,5,14193,5
E01000169,Barnet 003C,20813,7,18500,6,20563,7,27460,9,30347,10,9541,3,10718,4,11383,4
E01000170,Barnet 006A,14031,5,10719,4,10414,4,21554,7,25024,8,8594,3,13749,5,11534,4
E01000171,Barnet 006B,11210,4,6871,3,11775,4,19665,6,18595,6,12123,4,9720,3,6704,3
E01000172,Barnet 003D,26533,9,20565,7,28221,9,30143,10,32018,10,26715,9,11275,4,11181,4
E01000173,Barnet 006C,24872,8,19433,6,24580,8,26333,9,29803,10,17910,6,17062,6,13018,4
E01000174,Barnet 006D,17685,6,12760,4,19157,6,23885,8,25607,8,20317,7,6828,3,8830,3
E01000175,Barnet 006E,27536,9,25718,8,25725,8,30711,10,31540,10,13765,5,14085,5,18613,6
E01000176,Barnet 027A,7768,3,4859,2,7899,3,14011,5,22882,7,10772,4,1205,1,16934,6
E01000177,Barnet 029A,26742,9,25054,8,31483,10,27761,9,32421,10,16208,5,13256,5,8862,3
E01000178,Barnet 027B,27008,9,24124,8,26228,8,31906,10,30902,10,18895,6,13319,5,12599,4
E01000179,Barnet 029B,26462,9,22746,7,29121,9,30869,10,26043,8,17939,6,11205,4,15597,5
E01000180,Barnet 029C,19391,6,12478,4,17950,6,27500,9,29166,9,20452,7,7258,3,15732,5
E01000181,Barnet 029D,26821,9,24244,8,28293,9,32678,10,32071,10,15601,5,15696,5,9010,3
E01000182,Barnet 029E,27057,9,28697,9,30147,10,32588,10,32281,10,19306,6,13308,5,5210,2
E01000183,Barnet 033A,23760,8,18766,6,25825,8,31018,10,25664,8,23864,8,6841,3,14718,5
E01000184,Barnet 027C,7110,3,5967,2,7398,3,15371,5,18934,6,11888,4,1365,1,5952,2
E01000185,Barnet 029F,10299,4,4541,2,8723,3,19497,6,19242,6,22953,7,5260,2,15701,5
E01000186,Barnet 014A,30326,10,27519,9,29214,9,29202,9,32593,10,26212,8,17370,6,16097,5
E01000187,Barnet 014B,21042,7,13871,5,20781,7,24295,8,24697,8,24590,8,8435,3,19649,6
E01000188,Barnet 014C,27036,9,30414,10,28966,9,30119,10,32615,10,8968,3,15409,5,10331,4
E01000189,Barnet 014D,11051,4,10587,4,14045,5,10515,4,27729,9,23049,8,2658,1,3275,1
E01000190,Barnet 014E,24311,8,17811,6,22730,7,26945,9,30863,10,22930,7,10564,4,18206,6
E01000191,Barnet 014F,28527,9,25033,8,25233,8,31153,10,31996,10,24413,8,14254,5,16169,5
E01000192,Barnet 018A,18475,6,15682,5,19723,7,25275,8,29094,9,8607,3,9186,3,9877,4
E01000193,Barnet 018B,17828,6,17895,6,18479,6,23988,8,31313,10,8454,3,7727,3,7146,3
E01000194,Barnet 018C,14920,5,14371,5,16742,6,26490,9,28883,9,4540,2,4831,2,8938,3
E01000195,Barnet 013A,9593,3,8228,3,11220,4,11639,4,24457,8,14429,5,706,1,15323,5
E01000196,Barnet 028A,21850,7,17436,6,19382,6,26345,9,30188,10,25935,8,7602,3,13191,5
E01000197,Barnet 023A,21591,7,18468,6,22711,7,31164,10,31942,10,16146,5,9434,3,6454,2
E01000198,Barnet 025A,22353,7,18412,6,25333,8,30790,10,32466,10,25140,8,3536,2,11317,4
E01000199,Barnet 025B,28042,9,24764,8,29076,9,31831,10,32707,10,18711,6,9205,3,18404,6
E01000200,Barnet 028B,25046,8,19357,6,23175,8,31907,10,32399,10,16549,6,13009,4,15396,5
E01000201,Barnet 028C,28084,9,28364,9,29698,10,32270,10,32469,10,17627,6,16487,6,7463,3
E01000202,Barnet 028D,28623,9,25482,8,30478,10,31446,10,32558,10,23739,8,10979,4,13100,4
E01000203,Barnet 028E,18422,6,14462,5,18236,6,26424,9,30128,10,24624,8,3280,1,11805,4
E01000204,Barnet 025C,24436,8,21863,7,25965,8,29593,10,32369,10,11927,4,13199,5,10412,4
E01000205,Barnet 035A,27397,9,25441,8,29476,9,31937,10,32600,10,13254,5,13351,5,12790,4
E01000206,Barnet 033B,25629,8,32706,10,32692,10,31108,10,32823,10,14364,5,2636,1,12215,4
E01000207,Barnet 033C,28804,9,28150,9,29472,9,29862,10,32645,10,23598,8,13623,5,10436,4
E01000208,Barnet 033D,28766,9,31181,10,32744,10,31699,10,32795,10,13995,5,9612,3,13475,5
E01000209,Barnet 035B,28249,9,26588,9,29393,9,32595,10,31889,10,16887,6,12593,4,13289,5
E01000210,Barnet 033E,26833,9,24220,8,29944,10,32505,10,32462,10,11037,4,16778,6,10330,4
E01000211,Barnet 035C,19377,6,14654,5,18292,6,29476,9,27338,9,22011,7,6679,3,10106,4
E01000212,Barnet 035D,24145,8,23021,8,18960,6,32546,10,32148,10,19894,7,10825,4,11349,4
E01000213,Barnet 033F,27586,9,31216,10,31617,10,31659,10,32733,10,23109,8,6517,2,8092,3
E01000214,Barnet 038E,23881,8,27180,9,28460,9,32591,10,32660,10,12197,4,3331,2,12462,4
E01000215,Barnet 037B,20414,7,15859,5,20859,7,26065,8,24381,8,23197,8,6431,2,13727,5
E01000216,Barnet 035E,24507,8,21332,7,21286,7,30600,10,30884,10,20587,7,9956,4,14375,5
E01000217,Barnet 035F,23520,8,22376,7,22862,7,22543,7,30365,10,21624,7,11971,4,9244,3
E01000218,Barnet 037C,18612,6,15821,5,18558,6,22091,7,26523,9,14620,5,7938,3,11456,4
E01000219,Barnet 037D,14460,5,16734,6,13697,5,17613,6,26620,9,10389,4,4298,2,8190,3
E01000220,Barnet 037E,16891,6,14048,5,13981,5,24209,8,23139,8,22479,7,7749,3,9132,3
E01000221,Barnet 039B,2878,1,2886,1,3909,2,11630,4,11027,4,2639,1,44,1,8955,3
E01000222,Barnet 040C,9539,3,9338,3,8480,3,19703,6,20458,7,6190,2,3179,1,8884,3
E01000223,Barnet 039C,5606,2,5219,2,7310,3,13036,4,16092,5,4500,2,582,1,9686,3
E01000224,Barnet 040D,14638,5,10311,4,13101,4,18160,6,28221,9,17484,6,7085,3,10450,4
E01000225,Barnet 037F,23364,8,22472,7,23306,8,25545,8,29235,9,16830,6,8226,3,13328,5
E01000226,Barnet 018D,7222,3,5288,2,9332,3,11624,4,10680,4,19222,6,1925,1,8364,3
E01000227,Barnet 018E,24577,8,19223,6,24076,8,27735,9,32188,10,25093,8,7533,3,16456,6
E01000228,Barnet 007A,21621,7,19698,6,23078,8,27227,9,30502,10,7481,3,8123,3,17584,6
E01000229,Barnet 013B,13079,4,12047,4,11304,4,20727,7,27683,9,15566,5,1385,1,16706,6
E01000230,Barnet 013C,27204,9,21300,7,26803,9,23054,8,31585,10,21540,7,15942,5,20064,7
E01000231,Barnet 013D,16447,6,15887,5,20544,7,28133,9,29693,10,14223,5,745,1,13506,5
E01000232,Barnet 013E,19413,6,14404,5,18344,6,27272,9,27433,9,16385,5,7095,3,15093,5
E01000233,Barnet 013F,25991,8,21747,7,23380,8,28531,9,32427,10,19066,6,13908,5,15270,5
E01000234,Barnet 021D,26226,8,22186,7,25571,8,28687,9,30198,10,20474,7,11062,4,16530,6
E01000235,Barnet 021E,11811,4,9316,3,12345,4,14759,5,24980,8,9335,3,5689,2,9812,3
E01000236,Barnet 034A,23808,8,19680,6,21799,7,28956,9,29846,10,24391,8,10944,4,11051,4
E01000237,Barnet 032A,25066,8,24986,8,29142,9,31373,10,32251,10,12465,4,9308,3,9041,3
E01000238,Barnet 034B,19485,6,16992,6,17719,6,27606,9,31453,10,19488,6,6642,3,8164,3
E01000239,Barnet 031A,13120,4,11811,4,16948,6,25549,8,27733,9,16770,6,308,1,11552,4
E01000240,Barnet 031B,14717,5,13892,5,19999,7,26426,9,29663,10,15563,5,511,1,9725,3
E01000241,Barnet 031C,23646,8,21281,7,27860,9,31496,10,32334,10,19355,6,4182,2,11802,4
E01000242,Barnet 032B,15111,5,13112,4,15495,5,29017,9,28490,9,12135,4,1516,1,14489,5
E01000243,Barnet 032C,19861,7,18854,6,23716,8,27755,9,28790,9,15063,5,6931,3,5126,2
E01000244,Barnet 032D,18293,6,20321,7,22860,7,25656,8,29007,9,12038,4,7188,3,2831,1
E01000245,Barnet 032E,11312,4,8983,3,9813,3,20172,7,21679,7,9778,3,6032,2,9019,3
E01000246,Barnet 002B,23751,8,26762,9,27831,9,31198,10,31610,10,9108,3,4693,2,14047,5
E01000247,Barnet 002C,24330,8,20059,7,19922,7,30127,10,30591,10,24522,8,7674,3,20763,7
E01000248,Barnet 001A,27938,9,27165,9,28987,9,31482,10,31384,10,8790,3,19451,6,15516,5
E01000249,Barnet 001B,29613,10,31437,10,26762,9,31821,10,32562,10,15324,5,15076,5,18222,6
E01000250,Barnet 001C,21023,7,15300,5,18377,6,29054,9,31547,10,15679,5,10078,4,14715,5
E01000251,Barnet 002D,15365,5,11035,4,10435,4,24848,8,24423,8,14914,5,11258,4,13305,5
